CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Schokinag,www.schokinag.com,Food Production,, Germany,"SCHOKINAG manufactures the full range of chocolates and chocolate couvertures, from liquid to solid, in various sizes, shapes and packaging types,as well as liquid compounds.",,2024-03-15 00:00:00,33876.0,196,"['PII', 'Customer and Client Data', 'Financial Data']",Play
QEO Group,www.qeo.com,Insurance,, United States,"QEO provides commercial transportation insurance products within three broad categories: energy, local delivery, and the construction industry.",,2024-03-13 00:00:00,33615.0,82,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MainVest,www.mainvest.com,Finance,, United States,MainVest is a community investment platform and Regulation Crowdfunding portal that empowers communities and small business entrepreneurs by allowing everyday Americans to invest in the local businesses they care most about and share in their wealth and success,,2024-03-10 00:00:00,34566.0,162,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Continental Aerospace Technologies,www.continental.aero,Wholesale Import and Export,, United States,"Continental Aerospace Technologies?¢¬Ñ¬¢ is a global leader in General Aviation. They are the only company to offer a full range of gasoline and Jet-A engines, as well as avionics services. Continental Aerospace Technologies was founded in 1905 and is based in Alabama, the United States.",,2024-03-09 00:00:00,34683.0,475,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FBi Construction,www.fbiconstruction.com,Construction,, United States,FBi Construction is made up of dedicated people who believe in giving back to our community. We understand the value of giving our time and resources to help those who need our help the most.,,2024-03-07 00:00:00,35619.0,112,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Kool-air,www.kool-air-inc.com,Consumer Services,, Canada,"Our talented engineering staff can custom design a system to suit your needs. New products are continually being developed and added to Kool-Air'scatalogue of products. Our state-of-the-art manufacturing plant is located in the city of Delson just outside Montreal, Quebec, Canada.",,2024-03-07 00:00:00,35693.0,109,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Influence Communication,www.influencecommunication.com,Communication Services,, Canada,"Established in 2001, Influence is Canada's premier news information broker. From its head office in Montreal, Influence conducts media monitoring for the majority of Canada's largest corporations. With its Interactive Communication Environment (ICE) system and network of partners across Canada and in 160 countries, Influence offers comprehensive monitoring, aggregation and analysis of print and broadcast",,2024-03-07 00:00:00,35637.0,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Coastal Car,www.coastalcar.com,Transportation,, United States,"Coastal Car Worldwide utilizes the FAA flight tracker system. This state of the art system tracks private, business, and commercial aircraft so that we can monitor the arrival of your flight, assuring you that no matter when your flight arrives, your vehicle will be waiting for you.",,2024-03-07 00:00:00,35491.0,30,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Marketon,www.marketon.com,Business Services,, United States,"MARKETON INC., headquartered in El Monte, California, was founded by Constantino Miguel, who moved from his birthplace, Asturias, Spain, to Havana,Cuba in 1958, to work as a salesman with his uncle. Shortly after the Castro revolution, he moved back to Spain, before heading to America in 1968.",,2024-03-07 00:00:00,35562.0,44,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Compact Mould,www.compactmould.com,Plastics Manufacturing,, Canada,"Compact Mould Ltd. is a Canadian-based manufacturer of high quality Extrusion Blow Molds, Stretch Blow Molds, and Injection Stretch Blow molds. Wecan offer a full range of services, including preform and bottle design, mold design, prototype tooling, high volume production tooling, as well as mold repairs, maintenance and modifications.",,2024-03-07 00:00:00,35584.0,375,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Northeastern Sheet Metal,www.nesmco.com,Construction,, United States,"NorthEastern Sheet Metal Co., Inc. began in 1995. Our focus is commercial duct system fabrication and installation. We have the capabilities to provide duct systems in a variety of different metal types, such as galvanized steel, stainless steel, aluminum, black iron, and copper.",,2024-03-07 00:00:00,35687.0,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Red River Title,www.redrivertitle.com,Real Estate,, United States,"The Red River Title team is dedicated to going above and beyond for all their clients. Ive bought or sold over 100 properties in the last 15 years, and Red River Title continues to deliver a great experience every time.",,2024-03-07 00:00:00,35408.0,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hedlunds,www.hedlundspapper.se,Gifts,, Sweden,Hedlunds is a company that operates in the Building Materials industry.,,2024-03-07 00:00:00,35368.0,16,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Winona Pattern & Mold,www.winonapattern.com,Strategic Management Services,, United States,"At Winona Pattern & Mold we pride ourselves on the strength of our engineering & design department. Each member of our team has over twenty years of CAD design experience and as a company we have been committed to solid modeling software since the early 1990's. Our engineering team excels as a full service, one stop solution for the most complex engineering projects our customers have to offer.",,2024-03-07 00:00:00,35478.0,305,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Trans+Plus Systems,www.transplus.io,Software,, Canada,Trans Plus Systems Corp. is comprised of software and transportation industry professionals who collectively have over 30 years of experience in the field of transportation software solutions. We have achieved continued growth by meeting and exceeding specialized individual customer needs with quality software products and support.,,2024-03-07 00:00:00,35161.0,52,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Powill Manufacturing & Engineering,www.powill.com,Aviation and Aerospace Component Manufacturing,, United States,Powill Manufacturing and Engineering Inc. specialize in the manufacture and supply of quality machined parts and sub-assemblies for the aerospace and commercial industries. Powill recognizes and embraces the need for an operational export compliance program.,,2024-03-07 00:00:00,35228.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
A&A Wireless,www.aawireless.us,Telecommunications,, United States,A&A Wireless providing exceptional telecommunications services,,2024-03-07 00:00:00,35157.0,293,"['PII', 'Customer and Client Data', 'Financial Data']",Play
American Nuts,www.americannuts.com,Food and Beverage Manufacturing,, United States,"American Nuts is located in heart of the Los Angeles Valley on 12950 San Fernando Road, Sylmar, California 91342. Established in 1988, we are a roaster and manufacturer of domestic and imported nuts and dried fruits.",,2024-03-07 00:00:00,35223.0,322,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Skyland Grain,www.skylandgrain.com,Mechanical Or Industrial Engineering,, United States,"Skyland Grain LLC, headquartered in Johnson, Kansas is a joint venture that began in 2004 with Johnson Cooperative Grain Co. and ADM Grain Co. Syracuse Cooperative Exchange joined the venture in 2010 Cairo Cooperative Equity Exchange in 2015.",,2024-03-07 00:00:00,35176.0,62,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Gilmore & Associates,www.gilmore-assoc.com,Civil Engineering,, United States,"Gilmore & Associates, Inc. was founded in 1918 and is based in New Britain, Pennsylvania. The company has emerged as one of the regions most dynamic civil engineering firms, offering a diverse and complementary portfolio of professional consulting services.",,2024-03-03 00:00:00,35289.0,340,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Welch's,www.welchs.com,Manufacturing,," Massachusetts, United States","Welch's produces and markets grape products. The Company offers refrigerated juices, juice cocktails, jams and jellies, and snacks. Welch Foods serves the foodservice customers such as schools, business and industry, lodging, colleges and universities, healthcare, and restaurants.",,2024-02-26 00:00:00,36886.0,428,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MeerServices,www.meerservices.nl,IT Services and IT Consulting,, Netherlands,"Meerservices is a shop that provides complete automation projects. Furthermore, also focused on Telecommunications within a company.",,2024-02-21 00:00:00,38411.0,124,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Onclusive,www.onclusive.com,Public Relations and Communications Services,, United States,"Onclusive is the data science company for communications. The inventors of PR Attribution?¢¬Ñ¬¢ and Power of Voice?¢¬Ñ¬¢, Onclusive measures the true impactthat content is having on a company's bottom line. The Onclusive platform is built upon a proprietary newscrawler which analyzes millions of earned, owned, and newswire articles every day globally and in over 100 languages, organizing each piece of content based on dozens of dimensions for aggregate and entity-level analysis.",,2024-02-24 00:00:00,38342.0,650,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mechanical Reps,www.mechreps.com,Wholesale,, United States,"Mechanical Reps, Inc. is the premier manufacturers' representative for HVAC products in Central and South Texas. Founded in 1974, our team providesexceptional products and an unprecedented level of service. Mechanical Reps Inc. serves engineers, contractors, and facility managers who demand responsiveness and expertise.",,2024-02-21 00:00:00,38317.0,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
HR Ewell & Hy-tec,www.hrewell.com | www.hytectank.com,Transportation,, United States,"H.R. Ewell, Inc. was founded in 1946 in Lancaster County Pennsylvania as a local bulk milk transporter and expanded into liquid sweetener transportas opportunities arose.",,2024-02-21 00:00:00,38227.0,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
